Please use tf.one_hot on tensors.
Extracting ./data/t10k-labels-idx1-ubyte.gz
WARNING:tensorflow:From C:\Users\codesky\AppData\Local\Programs\Python\Python36\lib\site-packages\tensorflow\contrib\learn\python\learn\datasets\mnist.py:290: DataSet.__init__ (from tensorflow.contrib.learn.python.learn.datasets.mnist) is deprecated and will be removed in a future version.
Instructions for updating:
Please use alternatives such as official/mnist/dataset.py from tensorflow/models.
RBM:  0   784 -> 500
RBM:  1   500 -> 200
RBM:  2   200 -> 50
New RBM:
2019-01-19 20:01:36.263732: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
Accuracy rating for epoch 86: 0.9707272727272728
Accuracy rating for epoch 87: 0.9709454545454546
Accuracy rating for epoch 88: 0.9711636363636363
Accuracy rating for epoch 89: 0.9713090909090909
Accuracy rating for epoch 90: 0.9714727272727273
Accuracy rating for epoch 91: 0.9716545454545454
Accuracy rating for epoch 92: 0.9717454545454546
Accuracy rating for epoch 93: 0.9718545454545454
Accuracy rating for epoch 94: 0.9719818181818182
Accuracy rating for epoch 95: 0.9720727272727273
Accuracy rating for epoch 96: 0.9722
Accuracy rating for epoch 97: 0.9723090909090909
Accuracy rating for epoch 98: 0.9724
Accuracy rating for epoch 99: 0.9725636363636364
Accuracy rating for epoch 100: 0.972690909090909
Accuracy rating for epoch 101: 0.9727636363636364
Accuracy rating for epoch 102: 0.9728727272727272
Accuracy rating for epoch 103: 0.9730727272727273
Accuracy rating for epoch 104: 0.9731818181818181
Accuracy rating for epoch 105: 0.9734
Accuracy rating for epoch 106: 0.9735454545454545
Accuracy rating for epoch 107: 0.9736727272727272
Accuracy rating for epoch 108: 0.9738
Accuracy rating for epoch 109: 0.9739636363636364
Accuracy rating for epoch 110: 0.9741818181818181
Accuracy rating for epoch 111: 0.9743090909090909
Accuracy rating for epoch 112: 0.9743454545454545
Accuracy rating for epoch 113: 0.9745818181818182
Accuracy rating for epoch 114: 0.9747272727272728
Accuracy rating for epoch 115: 0.9748181818181818
Accuracy rating for epoch 116: 0.9749454545454546
Accuracy rating for epoch 117: 0.9750545454545455
Accuracy rating for epoch 118: 0.9752363636363637
Accuracy rating for epoch 119: 0.9754181818181819
Accuracy rating for epoch 120: 0.9756
Accuracy rating for epoch 121: 0.9757636363636364
Accuracy rating for epoch 122: 0.9758363636363636
Accuracy rating for epoch 123: 0.9758909090909091
Accuracy rating for epoch 124: 0.9760181818181818
Accuracy rating for epoch 125: 0.9761090909090909
Accuracy rating for epoch 126: 0.9762909090909091
Accuracy rating for epoch 127: 0.9764
Accuracy rating for epoch 128: 0.9764909090909091
Accuracy rating for epoch 129: 0.9765818181818182
Accuracy rating for epoch 130: 0.9767090909090909
Accuracy rating for epoch 131: 0.9768727272727272
Accuracy rating for epoch 132: 0.9769454545454546
Accuracy rating for epoch 133: 0.9770363636363636
Accuracy rating for epoch 134: 0.9771090909090909
Accuracy rating for epoch 135: 0.9772363636363637
Accuracy rating for epoch 136: 0.9774
Accuracy rating for epoch 137: 0.9774909090909091
Accuracy rating for epoch 138: 0.9776
Accuracy rating for epoch 139: 0.977690909090909
Accuracy rating for epoch 140: 0.9777818181818182
Accuracy rating for epoch 141: 0.9779272727272728
Accuracy rating for epoch 142: 0.9780545454545455
Accuracy rating for epoch 143: 0.9781818181818182
Accuracy rating for epoch 144: 0.9783454545454545
Accuracy rating for epoch 145: 0.9784545454545455
Accuracy rating for epoch 146: 0.9785272727272727
Accuracy rating for epoch 147: 0.9786
Accuracy rating for epoch 148: 0.9786545454545454
Accuracy rating for epoch 149: 0.9788181818181818
Accuracy rating for epoch 150: 0.979
Accuracy rating for epoch 151: 0.9791090909090909
Accuracy rating for epoch 152: 0.9792
Accuracy rating for epoch 153: 0.9792727272727273
Accuracy rating for epoch 154: 0.9793272727272727
Accuracy rating for epoch 155: 0.9793454545454545
Accuracy rating for epoch 156: 0.9794
Accuracy rating for epoch 157: 0.9794545454545455
Accuracy rating for epoch 158: 0.9795818181818182
Accuracy rating for epoch 159: 0.9797090909090909
Accuracy rating for epoch 160: 0.9798363636363636
Accuracy rating for epoch 161: 0.979909090909091
Accuracy rating for epoch 162: 0.9799272727272728
Accuracy rating for epoch 163: 0.98
Accuracy rating for epoch 164: 0.9800545454545454
Accuracy rating for epoch 165: 0.9801272727272727
Accuracy rating for epoch 166: 0.9801818181818182
Accuracy rating for epoch 167: 0.9801818181818182
Accuracy rating for epoch 168: 0.9802363636363637
Accuracy rating for epoch 169: 0.9803272727272727
Accuracy rating for epoch 170: 0.9804
Accuracy rating for epoch 171: 0.9805090909090909
Accuracy rating for epoch 172: 0.9806363636363636
Accuracy rating for epoch 173: 0.9806727272727273
Accuracy rating for epoch 174: 0.9808181818181818
Accuracy rating for epoch 175: 0.9808727272727272
Accuracy rating for epoch 176: 0.980909090909091
Accuracy rating for epoch 177: 0.981
Accuracy rating for epoch 178: 0.9810363636363636
Accuracy rating for epoch 179: 0.9810909090909091
Accuracy rating for epoch 180: 0.9811454545454545
Accuracy rating for epoch 181: 0.9812181818181818
Accuracy rating for epoch 182: 0.9812545454545455
Accuracy rating for epoch 183: 0.9813454545454545
Accuracy rating for epoch 184: 0.9814363636363637
Accuracy rating for epoch 185: 0.9814727272727273
Accuracy rating for epoch 186: 0.9815090909090909
Accuracy rating for epoch 187: 0.9815818181818182
Accuracy rating for epoch 188: 0.9816181818181818
Accuracy rating for epoch 189: 0.9816909090909091
Accuracy rating for epoch 190: 0.9817090909090909
Accuracy rating for epoch 191: 0.9817636363636364
Accuracy rating for epoch 192: 0.9818363636363636
Accuracy rating for epoch 193: 0.981890909090909
Accuracy rating for epoch 194: 0.9819272727272728
Accuracy rating for epoch 195: 0.9819636363636364
Accuracy rating for epoch 196: 0.9820181818181818
Accuracy rating for epoch 197: 0.9820909090909091
Accuracy rating for epoch 198: 0.9821818181818182
Accuracy rating for epoch 199: 0.9822181818181818

Process finished with exit code 0
